sin(t)= 1.2246467991473532e-16	for t=3.141592653589793,	error=-3.141592653589793
sin(t)= 0.5877852522924731	for t=0.6283185307179586,	error=-0.040533278425485486
sin(t)= 0.12533323356430426	for t=0.12566370614359174,	error=-0.0003304725792874774
sin(t)= 0.02513009544333748	for t=0.025132741228718346,	error=-2.645785380867016e-06
sin(t)= 0.005026527078818862	for t=0.005026548245743669,	error=-2.1166924806664822e-08
sin(t)= 0.0010053094798131298	for t=0.0010053096491487337,	error=-1.693356039157018e-10
sin(t)= 0.00020106192847506185	for t=0.00020106192982974675,	error=-1.3546848918240956e-12
sin(t)= 4.0212385955111865e-05	for t=4.0212385965949346e-05,	error=-1.0837481628257761e-14
sin(t)= 8.042477193103168e-06	for t=8.042477193189869e-06,	error=-8.670059841505567e-17
sin(t)= 1.6084954386372802e-06	for t=1.6084954386379737e-06,	error=-6.935082255644584e-19
